Entity,Code,Year,Colorectal cancer,Ovarian cancer,Stomach cancer,Lung cancer,Liver cancer,Pancreatic cancer
Denmark,DNK,2003,53.8,32.6,15.1,9.55,4.7,3.91
Denmark,DNK,2004,55.3,34.5,16.8,9.93,5.76,4.17
Denmark,DNK,2005,55.3,35.4,16.4,10.4,5.7,4.25
Denmark,DNK,2006,57.1,37.4,15.1,10.7,5.84,4.78
Denmark,DNK,2007,57.3,37.5,14.7,11.7,6.34,5.42
Denmark,DNK,2008,58.5,38.8,15,12,5.88,5.59
Denmark,DNK,2009,59.8,38.8,16.4,13.3,6.81,5.96
Denmark,DNK,2010,59.1,39.1,16.7,13.5,7.97,7.19
Denmark,DNK,2011,60.9,39.4,17.4,14.9,8.27,7.64
Denmark,DNK,2012,62.4,39.5,19.4,16.5,8.47,7.35
Denmark,DNK,2013,65,41.7,20.8,17.6,11.4,8.63
Denmark,DNK,2014,67,42,22.5,18.8,12.7,9.59
Ireland,IRL,1995,47.9,34.9,16.1,8.51,1.65,3.06
Ireland,IRL,1996,47,29.3,16.6,8.63,4.95,4.51
Ireland,IRL,1997,48.2,28.6,16.9,8.55,4.67,4.84
Ireland,IRL,1998,49.7,26.3,17.7,8.84,9.01,6.33
Ireland,IRL,1999,50.8,26.8,17.7,9.7,6.89,6.2
Ireland,IRL,2000,51.4,26.2,17.2,10.2,9.72,6.9
Ireland,IRL,2001,51.1,25.5,17.8,9.95,12.2,7.32
Ireland,IRL,2002,50.6,28.4,16.5,9.38,12.1,6.22
Ireland,IRL,2003,51.2,30.8,17.2,9.45,14.6,5.34
Ireland,IRL,2004,52.8,32.1,18.7,10.5,13.6,4.47
Ireland,IRL,2005,54.7,30.3,21,11.6,18.9,5.76
Ireland,IRL,2006,55.2,30,21.1,12,15.8,6.58
Ireland,IRL,2007,56.8,29.5,20.6,12.1,14.5,7.26
Ireland,IRL,2008,58,30.9,22.2,12.4,11.5,7.2
Ireland,IRL,2009,59.5,32.1,23.6,14.2,13.1,6.9
Ireland,IRL,2010,59,33.3,24.7,15.3,14.9,8.02
Ireland,IRL,2011,60.4,33.6,25.4,16.6,16.4,9.32
Ireland,IRL,2012,60.7,33.2,27.8,17.7,18.3,9.89
Ireland,IRL,2013,61,34.7,27.5,18.5,20,9.66
New Zealand,NZL,1995,57.8,34.6,20.4,12.1,21.3,6.58
New Zealand,NZL,1996,58,32.6,21.5,12,17.3,8.65
New Zealand,NZL,1997,57.9,31.1,21.6,11.9,16.1,8.33
New Zealand,NZL,1998,58.9,30.4,21.1,11.8,11.9,9.98
New Zealand,NZL,1999,59.2,31.5,21.1,11.2,9.09,8.93
New Zealand,NZL,2000,59.8,33.2,19.5,10.5,8.07,8.57
New Zealand,NZL,2001,59.9,31.9,22,10.5,9.37,7.36
New Zealand,NZL,2002,60.6,33.6,23.6,10.5,10.7,6.83
New Zealand,NZL,2003,60.7,34.5,26.4,11.2,11.3,7.51
New Zealand,NZL,2004,60.2,35,25,11.1,12.8,6.52
New Zealand,NZL,2005,60.3,32.4,24.1,11.1,13.4,6.98
New Zealand,NZL,2006,61.1,31.4,24.4,10.9,14,7.02
New Zealand,NZL,2007,62.1,32,25.3,11.4,16,7.4
New Zealand,NZL,2008,62.1,32.7,25.1,12,15.8,8.06
New Zealand,NZL,2009,62.1,33.5,22.9,12.6,16.3,6.87
New Zealand,NZL,2010,62.4,33.3,26.1,12.6,17.4,7.65
New Zealand,NZL,2011,62.7,35.3,25,13.5,15.9,7.62
New Zealand,NZL,2012,63.3,36.2,24.1,14.5,16.4,7.92
New Zealand,NZL,2013,63.6,37.1,23.6,14.9,17.2,8
New Zealand,NZL,2014,63.3,36.3,24.5,15.5,16.7,8.17
Norway,NOR,1995,53.3,34.1,17.6,10.3,10.8,3.9
Norway,NOR,1996,54.9,34.9,19.6,9.73,7.3,3.92
Norway,NOR,1997,55.3,35.7,21.2,10.3,6.2,3.85
Norway,NOR,1998,56.8,38.1,21.2,10.7,6.15,4.01
Norway,NOR,1999,57.1,38.3,22,11.5,5.22,4.85
Norway,NOR,2000,57.6,39.8,21.5,11.2,6.38,4.99
Norway,NOR,2001,57.5,39.7,22.7,10.8,6.19,4.9
Norway,NOR,2002,58.2,40.4,21.5,11.1,7.49,3.99
Norway,NOR,2003,59.1,41.2,21.1,11.9,7.4,4.16
Norway,NOR,2004,60.3,40.2,22.2,12.7,8.81,5.07
Norway,NOR,2005,61,40.4,22.3,13.3,9.75,5.28
Norway,NOR,2006,62.2,39.2,23.8,14.1,9.39,6.14
Norway,NOR,2007,62.9,41.7,24.3,15.3,12.4,5.8
Norway,NOR,2008,63.2,42.2,25.9,15.4,14.9,5.56
Norway,NOR,2009,63.8,42.1,26.3,15.7,17,5.85
Norway,NOR,2010,64.2,41.4,26,16,16.4,6.91
Norway,NOR,2011,64.5,40.4,25.6,16.8,17.7,7.65
Norway,NOR,2012,65.2,42.5,25.5,17.4,17.2,8.45
Norway,NOR,2013,65.9,44.7,26.6,19.1,20.3,9.2
Norway,NOR,2014,66.4,46.1,26.9,20.3,19.9,9.88
United Kingdom,GBR,1995,44.2,26.7,13.9,6.86,4.69,2.9
United Kingdom,GBR,1996,45.2,26.7,13.8,6.94,6.32,3.08
United Kingdom,GBR,1997,45.9,26.9,13.9,7.13,6.48,3.15
United Kingdom,GBR,1998,47.5,27,13.9,7.26,6.6,3.37
United Kingdom,GBR,1999,48.7,27.7,14.2,7.36,6.32,3.4
United Kingdom,GBR,2000,50.1,28.4,14.8,7.5,6.57,3.57
United Kingdom,GBR,2001,50.7,28.7,15.5,7.88,7.45,3.52
United Kingdom,GBR,2002,51.2,28.6,16,8.1,7.59,3.68
United Kingdom,GBR,2003,51.5,28.4,16.1,8.41,7.65,3.81
United Kingdom,GBR,2004,52.1,29.3,16.2,8.43,7.39,4.23
United Kingdom,GBR,2005,52.6,29.8,16.5,8.71,7.58,4.58
United Kingdom,GBR,2006,53.2,30.3,17.5,8.77,8.14,4.88
United Kingdom,GBR,2007,54.3,31.1,18.6,9.27,8.8,5.17
United Kingdom,GBR,2008,56,31.8,19.2,9.85,9.32,5.56
United Kingdom,GBR,2009,57.5,33.4,19.5,10.7,9.93,5.84
United Kingdom,GBR,2010,57.2,33.1,19.7,10.9,10.7,6.11
United Kingdom,GBR,2011,58.4,34,20.2,11.9,11.5,6.58
United Kingdom,GBR,2012,59.2,35.1,20.3,12.9,12.3,7
United Kingdom,GBR,2013,60,36.3,20.7,13.9,12.8,7.35
United Kingdom,GBR,2014,60,37.1,20.8,14.7,13.4,7.93
